node,sf,time
92.0,7.0,25033.657162139112
2.0,7.0,25411.125112183792
61.0,8.0,25649.609296738527
84.0,7.0,25831.547984296078
17.0,8.0,25926.824761977907
56.0,7.0,26098.348319326098
0.0,8.0,26056.66900456723
87.0,7.0,26203.657926475295
78.0,8.0,26428.65048728348
65.0,7.0,26503.686876226217
59.0,10.0,26142.696052227664
49.0,8.0,26499.567215231058
93.0,8.0,26557.72750059496
79.0,11.0,25760.416559438374
36.0,7.0,27022.070716104197
87.0,7.0,27125.488629098207
60.0,7.0,27191.872050532154
16.0,7.0,27380.634530233627
21.0,11.0,26563.796134264816
42.0,7.0,27484.53061223226
91.0,7.0,27707.13449025248
33.0,7.0,27929.572584128488
10.0,12.0,26307.02740609262
54.0,8.0,27912.732406604195
96.0,7.0,28133.747159739803
37.0,7.0,28134.29381630855
21.0,11.0,27634.73327767718
92.0,7.0,28763.319227046286
6.0,9.0,28936.014506235886
55.0,7.0,29122.074950926013
44.0,10.0,28709.410127681385
86.0,8.0,29080.01473171737
59.0,10.0,28951.33213355817
22.0,8.0,29364.133750383335
34.0,8.0,29372.790616883896
19.0,11.0,28661.27684881023
39.0,10.0,29224.774224242057
84.0,7.0,30146.319762815812
24.0,7.0,30197.01994598178
52.0,7.0,30332.058137201275
82.0,7.0,30434.135941356373
96.0,7.0,30504.51566249677
81.0,9.0,30472.988725253024
87.0,7.0,30881.615203600333
17.0,8.0,30844.627614098164
6.0,9.0,30738.389828355692
37.0,7.0,30954.791774974965
98.0,8.0,30980.16250427125
67.0,9.0,30889.819212144248
78.0,8.0,31072.61626829992
71.0,8.0,31109.828339834115
97.0,8.0,31247.21873779708
51.0,7.0,31600.93363085545
41.0,7.0,31702.765328152298
0.0,8.0,31772.67067910043
99.0,12.0,30252.56272154332
26.0,7.0,32049.85617342291
27.0,10.0,31800.76804400327
71.0,8.0,32448.07215197209
25.0,9.0,32352.902662426506
33.0,7.0,32660.25707840825
15.0,7.0,32730.116891123875
42.0,7.0,32881.533185230255
79.0,11.0,31978.757538254737
25.0,9.0,32871.93683687647
88.0,9.0,32958.1300720764
28.0,7.0,33188.4014813785
53.0,7.0,33413.58264616343
78.0,8.0,33463.114582583126
76.0,9.0,33399.89157843331
60.0,7.0,33991.41922316718
14.0,7.0,34072.19097382287
40.0,7.0,34137.66550618168
93.0,8.0,34288.428758593924
32.0,8.0,34478.20335911476
82.0,7.0,34646.95341233261
54.0,8.0,34731.247477360455
90.0,7.0,35031.722676016376
2.0,7.0,35322.06217671251
68.0,8.0,35325.81331661735
17.0,8.0,35369.68633767532
66.0,7.0,35444.39716671577
21.0,11.0,34776.24402949654
96.0,7.0,36432.36964644062
6.0,9.0,36308.76178437232
40.0,7.0,36518.97572410672
22.0,8.0,36459.84012876013
49.0,8.0,36716.42210657386
7.0,9.0,36626.750918532125
8.0,7.0,36845.99692037485
36.0,7.0,37060.16395793442
38.0,7.0,37142.643505338245
68.0,8.0,37229.91217968407
48.0,7.0,37298.443546989954
47.0,7.0,37322.367615240655
62.0,10.0,37094.739839392154
84.0,7.0,37533.00782660772
69.0,7.0,37584.070946680295
61.0,8.0,37610.38520723311
70.0,7.0,37678.418142169656
32.0,8.0,37966.47428566579
23.0,7.0,38202.078251995685
86.0,8.0,38259.674506143114
54.0,8.0,38416.374331243365
94.0,8.0,38650.641069701574
4.0,8.0,38654.87411947373
79.0,11.0,37879.07131799231
90.0,7.0,39057.13876799533
95.0,7.0,39116.83214279895
16.0,7.0,39275.98804019293
34.0,8.0,39468.46034159306
0.0,8.0,39740.082151851246
63.0,8.0,39868.96201447946
90.0,7.0,40109.96398898806
9.0,10.0,39803.38792630098
42.0,7.0,40233.15952079832
54.0,8.0,40179.813389792005
80.0,7.0,40242.30077087377
31.0,8.0,40247.484137894055
70.0,7.0,40410.33788594489
41.0,7.0,40625.3023612324
48.0,7.0,40706.95854467203
83.0,9.0,40567.07960294049
62.0,10.0,40370.40609995094
8.0,7.0,40845.65004726485
16.0,7.0,41096.59131690812
85.0,7.0,41156.7376377473
82.0,7.0,41194.971417237364
23.0,7.0,41619.41591322547
80.0,7.0,41636.84598047248
93.0,8.0,41592.11255018458
19.0,11.0,40749.4096100308
6.0,9.0,41518.724588377605
90.0,7.0,41767.77970064483
28.0,7.0,41853.44257385724
80.0,7.0,41856.33829345582
51.0,7.0,42177.60733056093
35.0,8.0,42120.20624259671
